Date,open,high,low,close
13/08/2023,4505.6305957171135,4531.961801164214,4466.293161,4469.766719938325
20/08/2023,4552.501912485132,4579.107037030832,4512.755256942757,4516.264951
27/08/2023,4591.547209658197,4618.380517522472,4551.459660249741,4554.999455628794
03/09/2023,4598.046951,4624.918243885555,4557.9026542166575,4561.447460489353
10/09/2023,4632.895308462385,4659.970257371423,4592.446760053359,4596.018432227402
17/09/2023,4656.110848176836,4683.3214702469995,4615.459611207103,4619.049181108524
24/09/2023,4693.710720047418,4721.141078,4652.731208826644,4656.349765874799
01/10/2023,4791.192717634318,4819.192767151161,4749.362117615747,4753.055827179784
08/10/2023,4838.9541893793585,4867.233360119804,4796.706596946037,4800.437127613998
15/10/2023,4847.467820700338,4875.796745669553,4805.145898068362,4808.8829922129535
22/10/2023,4836.011162479418,4864.273133974544,4793.789264813215,4797.517526591727
29/10/2023,4882.918943377552,4911.4550470700815,4840.287506639108,4844.051931379358
05/11/2023,4882.815981925574,4911.3514839045165,4840.185444115554,4843.949789478973
12/11/2023,4919.743829637778,4948.495140419544,4876.790884836798,4880.583699258406
19/11/2023,4933.033951726706,4961.862930867585,4889.964974485775,4893.768034759296
26/11/2023,4955.757708664959,4984.719487,4912.490336484935,4916.310915352108
03/12/2023,4963.331423317875,4992.3374629016935,4919.997927095892,4923.824345
10/12/2023,4979.701311749209,5008.803018051875,4936.224894485291,4940.0639323711075
17/12/2023,4984.8181866034665,5013.949796,4941.297095297409,4945.140077973322
24/12/2023,4994.631909713815,5023.820871425932,4951.025137461423,4954.875685903325
31/12/2023,5050.5909115329305,5080.106901380669,5006.495576461115,5010.389265789304
07/01/2024,5092.783094388955,5122.545658164901,5048.319390848372,5052.245607707497
14/01/2024,5110.775074262731,5140.642784368008,5066.154288,5070.094375190133
21/01/2024,5125.910047565757,5155.8662074635795,5081.157121610247,5085.108877275884
28/01/2024,5149.110018537689,5179.201760611869,5104.1545399479255,5108.124181338417
04/02/2024,5130.456082331158,5160.4388095590875,5085.663466183005,5089.618726556778
11/02/2024,5206.263319261707,5236.689069033893,5160.808850753728,5164.822553760175
18/02/2024,5210.139867338194,5240.588271915663,5164.651553743698,5168.6682453259655
25/02/2024,5269.7602393128145,5300.557069317079,5223.751396472261,5227.814051627933
03/03/2024,5266.481228765087,5297.258896013204,5220.501014073465,5224.561141317333
10/03/2024,5266.099823199883,5296.875261,5220.122938456476,5224.182771660536
17/03/2024,5278.359859375504,5309.206946132475,5232.275935591988,5236.345220516225
24/03/2024,5291.201342755465,5322.123475997038,5245.005303474501,5249.084488378297
31/03/2024,5298.912553831232,5329.879751904193,5252.6491900644505,5256.734319829115
07/04/2024,5318.708544631959,5349.791431794322,5272.272347455637,5276.372738689597
14/04/2024,5371.789581528891,5403.182677808089,5324.889948261837,5329.031261651346
21/04/2024,5386.824817480604,5418.305780680619,5339.793915659278,5343.946820274208
28/04/2024,5432.1281329220255,5463.873851716398,5384.701700179814,5388.889530814087
05/05/2024,5408.091272183641,5439.696517962092,5360.874698732529,5365.043998452345
12/05/2024,5426.634269443486,5458.347882,5379.255802128521,5383.439397338073
19/05/2024,5428.256552896411,5459.979646,5380.863921866015,5385.0487677545225
26/05/2024,5458.075957,5489.973317008513,5410.422981261016,5414.630816043125
02/06/2024,5472.889489,5504.873420188915,5425.107180257147,5429.3264353447485
09/06/2024,5487.596203661327,5519.666081557377,5439.685494285374,5443.916087328816
16/06/2024,5492.301711132479,5524.399088327754,5444.349919251082,5448.584139946128
23/06/2024,5490.757982990707,5522.846338535851,5442.819668979695,5447.052699557011
30/06/2024,5504.148324560918,5536.314934,5456.093103120932,5460.336456813104
07/07/2024,5513.633274606294,5545.855314879999,5465.495243,5469.745908642865
14/07/2024,5524.182465395352,5556.466155843005,5475.952331322678,5480.211130082908
21/07/2024,5590.525477081367,5623.1968805102715,5541.716120224427,5546.0260652923125
28/07/2024,5579.367767575597,5611.973964606623,5530.655825644536,5534.957168817081
04/08/2024,5553.717527638026,5586.1738229575785,5505.229530972882,5509.511099416635
11/08/2024,5505.3513670231005,5537.525007,5457.285642146706,5461.529923309281
18/08/2024,5567.8086464149155,5600.3472911716035,5519.197624025676,5523.490055839629
25/08/2024,5622.633615771841,5655.492661302872,5573.543931492056,5577.878629924279
01/09/2024,5668.466460378087,5701.593356107201,5618.976622002353,5623.346654687748
08/09/2024,5733.858351987146,5767.3674022884015,5683.797594797755,5688.218040536785
15/09/2024,5785.062797775123,5818.871090269719,5734.554988501384,5739.01491
22/09/2024,5812.712541140965,5846.682420578313,5761.963329480907,5766.444567
29/09/2024,5832.552569548303,5866.638395433762,5781.630139998342,5786.126672798948
06/10/2024,5859.517478,5893.760888628508,5808.359625191889,5812.876946248403
13/10/2024,5915.536226143142,5950.107014047598,5863.889289,5868.449796869301
20/10/2024,5927.728801136399,5962.370843261604,5875.975413804215,5880.545321519507
27/10/2024,5967.926595727314,6002.8035564428055,5915.822252387668,5920.42315
