Date,open,high,low,close
24/09/2023,4341.152590855426,4388.715011,4285.309500072518,4346.4301477818335
01/10/2023,4327.845850047677,4391.926111027417,4253.709654086552,4332.881660135971
08/10/2023,4233.708438440448,4317.465625030226,4169.241510497481,4251.606862423104
15/10/2023,4355.728738736533,4444.031015082808,4288.700429726979,4375.596999146241
22/10/2023,4267.532974795202,4333.670393618244,4210.210194866234,4284.331583662353
29/10/2023,4148.014135603324,4220.233425990512,4085.9530623706287,4164.584417015206
05/11/2023,4328.526115,4421.7932326819455,4242.386798990832,4347.032755997668
12/11/2023,4356.4570537531845,4432.824441568857,4286.430369807094,4377.519456697137
19/11/2023,4505.963209832252,4564.824316277351,4441.199770198777,4518.673957270056
26/11/2023,4553.001853516922,4603.966756576104,4482.681426940438,4555.259279535961
03/12/2023,4552.1211804408285,4605.740809469202,4479.441442682487,4554.733100750527
10/12/2023,4571.128751455471,4621.500405449454,4499.354329538578,4573.321441
17/12/2023,4709.396758445136,4761.376100947909,4635.985187467969,4710.227713711704
24/12/2023,4746.064111706251,4805.0752860868415,4663.877850627436,4745.811981
31/12/2023,4772.22084,4829.997155325735,4688.875168646544,4765.188871324378
07/01/2024,4681.023869155438,4733.482747101388,4602.430300447248,4674.081824483582
14/01/2024,4784.526482130328,4841.960131453119,4704.096668804105,4788.4112357773765
21/01/2024,4789.126971308392,4849.507931188671,4711.911283,4794.946674088143
28/01/2024,4882.557510631287,4944.255050381993,4808.384349065013,4884.1145215565875
04/02/2024,4906.997800387913,4967.206934,4825.063280503502,4907.312958527436
11/02/2024,4995.264935735782,5059.423440343777,4911.839011770988,4993.211432733545
18/02/2024,5021.204103963671,5080.002973797898,4937.822965189889,5016.035930762244
25/02/2024,5092.354610302275,5150.908441427908,5005.464742285033,5083.3122656714795
03/03/2024,5091.185271,5152.264084614605,5005.589086616587,5080.811297141044
10/03/2024,5155.696469518368,5214.276177036089,5068.388633129041,5146.944110636605
17/03/2024,5115.701772176188,5177.516818936855,5027.955051637908,5106.128691854589
24/03/2024,5234.581209980002,5297.289900795137,5145.0365061387065,5224.901900774927
31/03/2024,5240.224476835947,5301.193834389186,5151.135078546824,5232.449555768774
07/04/2024,5150.486750405737,5210.537902774998,5064.977049718278,5141.825713357838
14/04/2024,5162.731740805519,5232.301303596727,5073.828480342605,5156.665271542282
21/04/2024,5000.936794363048,5068.606417291008,4922.506980176167,4995.721178805569
28/04/2024,5080.2575535702435,5168.282567099408,4973.8289795375495,5070.108556195978
05/05/2024,5117.572596562206,5202.9099455494415,5040.330507429384,5121.869169253421
12/05/2024,5218.134132417381,5298.256896688295,5138.4378020647255,5220.386051
19/05/2024,5297.400422,5361.4853218923745,5219.217806067764,5295.678906973693
26/05/2024,5275.339796844051,5336.809029854698,5197.631795570304,5266.535794666961
02/06/2024,5236.747293841273,5297.539807955956,5148.561526360141,5229.884637041944
09/06/2024,5338.631216780517,5406.0692456162205,5248.473667817773,5332.326654807458
16/06/2024,5418.632506726851,5484.392895247008,5333.955489556833,5412.200962746344
23/06/2024,5459.1284227913375,5523.328854634266,5367.935534400721,5451.621413345053
30/06/2024,5478.754894531484,5544.861235027671,5382.251119517993,5470.551714446187
07/07/2024,5529.924103171077,5592.492758466002,5438.336030224438,5518.297908
14/07/2024,5583.414482177773,5646.723037786321,5494.349642908894,5572.154208228013
21/07/2024,5533.538262633517,5595.679294928767,5438.634833583578,5519.080401422001
28/07/2024,5423.290361152899,5492.78585,5329.380506475375,5413.539992078409
04/08/2024,5370.481994095946,5447.275764886009,5279.875461834272,5366.8015509269535
11/08/2024,5306.456085753919,5388.268639530404,5219.176866953767,5302.414422910239
18/08/2024,5524.276055134898,5670.035889325617,5394.372075606574,5540.4164574100405
25/08/2024,5597.8293179153625,5715.257972413443,5493.435670415682,5615.152780207427
01/09/2024,5605.018221337409,5686.1919523860115,5514.019645888169,5603.645267411964
08/09/2024,5500.288878241606,5579.071063509064,5399.994976716241,5492.719557121983
15/09/2024,5591.385958732925,5683.3976687995755,5489.630448329917,5586.990201802816
22/09/2024,5705.649025238409,5785.251604498585,5617.228694975684,5697.919736795388
29/09/2024,5748.961767210253,5819.411687991837,5664.264631281461,5741.259342230928
06/10/2024,5729.118427155039,5799.117510457232,5639.122014600359,5724.283011583709
13/10/2024,5765.442431261069,5841.537993379679,5672.527919684826,5758.605226181639
20/10/2024,5849.896857848312,5920.095571658497,5756.7845953034475,5843.964487290231
27/10/2024,5815.876495,5886.201090752441,5716.412771,5807.104092220111
03/11/2024,5712.972027952648,5786.176877750994,5620.078672,5707.024068709944
10/11/2024,5969.720056093187,6042.995969905731,5877.109317853311,5964.540737723015
17/11/2024,5909.6150102476695,5981.805304,5820.808627261415,5902.943740748141
24/11/2024,5933.482783775824,6010.387876367442,5826.602374632571,5925.3487538445015
01/12/2024,5997.642644193785,6078.247396262202,5902.324722198194,5991.456628164189
08/12/2024,6073.299749913458,6146.287931468045,5976.463069966857,6065.2655726104285
15/12/2024,6059.269874863895,6130.587550517651,5965.993058377602,6049.498233055761
22/12/2024,5833.306948698734,5901.659215026698,5743.550094518447,5822.791067
29/12/2024,6000.894798703643,6088.549806056377,5887.609569367093,5988.480803602335
05/01/2025,5887.102871012344,5962.557155723522,5790.204654447842,5878.602605244341
12/01/2025,5890.479867234303,5987.015542290281,5788.446616717183,5881.141097415395
19/01/2025,5983.711576777657,6082.188409537747,5888.336636972806,5983.57356
26/01/2025,6113.208938879982,6204.287339286905,6016.5320220128115,6112.292352482642
02/02/2025,6092.845520060666,6164.617133,5998.133279474377,6086.864074085971
09/02/2025,6076.7297229308215,6159.748951804785,5974.101363889249,6064.667004
16/02/2025,6109.310931506023,6192.088263288504,6011.729255563764,6100.884462482029
23/02/2025,6107.188712218607,6178.257563754654,6012.417667787534,6098.099290106562
02/03/2025,5849.928953,5924.566408656814,5763.078860385118,5843.155171121971
09/03/2025,5725.1104799806335,5816.879519360006,5614.011645866063,5711.009685570237
16/03/2025,5559.845441245169,5674.706633,5430.551132244069,5558.060437981891
23/03/2025,5618.450411937888,5757.811243872054,5485.672454082804,5638.528136053102
30/03/2025,5663.2058080447005,5786.747398117311,5563.341226,5682.5823276401725
06/04/2025,5273.253887719521,5372.397427321704,5181.470581341282,5281.067292053085
13/04/2025,5237.159875024334,5367.676649171589,5102.100431775534,5209.976132
20/04/2025,5302.546484591295,5553.129730792219,5150.664298410317,5383.381155138862
27/04/2025,5476.777441334121,5676.117320088256,5350.030617,5542.186255
