,open_rel,high_rel,low_rel,close_rel,open,high,low,close,daisy_chained_open_rel,daisy_chained_high_rel,daisy_chained_low_rel,daisy_chained_close_rel,daisy_chained_open,daisy_chained_high,daisy_chained_low,daisy_chained_close
2023-03-17,0.90158856,0.9044143,0.89654684,0.8975941,4117.554949641228,4130.460090517998,4094.5294213294983,4099.312228560448,0.90158856,0.9044143,0.89654684,0.8975941,4197.13817175746,4210.292554424248,4173.667572932476,4178.542865036435
2023-03-20,0.9167496,0.9171418,0.91223764,0.9124763,4137.327599420548,4139.0976072216035,4116.9649777603145,4118.042046337127,0.9167496,0.9171418,0.91223764,0.9124763,4200.027537039868,4201.824485810204,4179.356367652262,4180.449607451656
2023-03-21,0.9034896,0.90645945,0.8985237,0.89943576,4135.362200975418,4148.95555189848,4112.632773792744,4116.807410645485,0.9034896,0.90645945,0.8985237,0.89943576,4202.916902322275,4216.732213594972,4179.816062514839,4184.059007445311
2023-03-22,0.9041115,0.9068885,0.89914906,0.90004826,4103.246775616408,4115.849906773567,4080.725069507361,4084.806006116867,0.9041115,0.9068885,0.89914906,0.90004826,4205.806267604682,4218.724597355113,4182.721634495193,4186.9045742261505
2023-03-23,0.9052292,0.90811944,0.90039515,0.9011953,4156.513810600042,4169.784789426327,4134.317421143055,4137.991366693974,0.9052292,0.90811944,0.90039515,0.9011953,4208.695632887089,4222.133082239307,4186.220529280075,4189.940750575177
2023-03-24,0.8949373,0.89930224,0.8894461,0.89140666,4194.347282230854,4214.804792940617,4168.611414179206,4177.8001417815685,0.8949373,0.89930224,0.8894461,0.89140666,4211.584998169496,4232.126785340873,4185.743465052109,4194.969822692299
2023-03-27,0.9015795,0.90524316,0.8966233,0.8976824,4238.514557644129,4255.738188421727,4215.214487316012,4220.193609030247,0.9015795,0.90524316,0.8966233,0.8976824,4214.474363451904,4231.600327867138,4191.306482583443,4196.257427676434
2023-03-28,0.9068923,0.90984297,0.90208405,0.9030292,4232.874464011192,4246.646560931205,4210.432211133838,4214.843655478954,0.9068923,0.90984297,0.90208405,0.9030292,4217.363728734311,4231.085255386688,4195.003718525546,4199.399001079989
2023-03-29,0.8901543,0.89475393,0.8844809,0.88667786,4194.424874676466,4216.098427152634,4167.691660317183,4178.043815596104,0.8901543,0.89475393,0.8844809,0.88667786,4220.253094016718,4242.060179365473,4193.355206825947,4203.7712520218265
2023-03-30,0.9047109,0.9079199,0.899884,0.9006392,4224.06799877286,4239.050699529648,4201.531331870556,4205.057295290232,0.9047109,0.9079199,0.899884,0.9006392,4223.142459299125,4238.121747964657,4200.610848293204,4204.1359198545415
2023-03-31,0.90599835,0.90877295,0.9012562,0.9019047,4198.477889996767,4211.335618567467,4176.502360779047,4179.507561355829,0.90599835,0.90877295,0.9012562,0.9019047,4226.031824581532,4238.973990620701,4203.912005376986,4206.936965905681
2023-04-03,0.88223433,0.88749564,0.8761524,0.8789114,4155.191382443905,4179.971325641871,4126.5463632524015,4139.540744251013,0.88223433,0.88749564,0.8761524,0.8789114,4228.92118986394,4254.140631688391,4199.767795409313,4212.992802947429
2023-04-04,0.8983681,0.90215826,0.8931601,0.894673,4194.184291703701,4211.8792053270345,4169.8697862505915,4176.9329475009445,0.8983681,0.90215826,0.8931601,0.894673,4231.810555146347,4249.664292900833,4207.277871868973,4214.404535519551
2023-04-05,0.9031354,0.90628743,0.8982721,0.89914036,4173.0636419487,4187.627958488465,4150.591982793809,4154.603903656006,0.9031354,0.90628743,0.8982721,0.89914036,4234.699920428754,4249.479405841637,4211.896391547012,4215.967476703012
2023-04-06,0.8992342,0.90260637,0.89394176,0.8955629,4107.7196991992005,4123.123941447735,4083.5438388037687,4090.949179949761,0.8992342,0.90260637,0.89394176,0.8955629,4237.589285711161,4253.480609247784,4212.649030948411,4220.288565751779
2023-04-07,0.9027256,0.90610147,0.89785814,0.8987473,4196.978836003542,4212.674115169048,4174.3490134954445,4178.483025547265,0.9027256,0.90610147,0.89785814,0.8987473,4240.478650993568,4256.336831011078,4217.614179335924,4221.791162584296
2023-04-10,0.90827,0.9110521,0.9035984,0.9040582,4265.744557828903,4278.810887460709,4243.804231939316,4245.963664340973,0.90827,0.9110521,0.9035984,0.9040582,4243.368016275976,4256.365803415178,4221.542660218064,4223.691000439127
2023-04-11,0.8975928,0.9013307,0.8923298,0.8938507,4241.834997851848,4259.4996534466745,4216.963302487135,4224.150624724626,0.8975928,0.9013307,0.8923298,0.8938507,4246.257381558383,4263.940233005247,4221.35975664024,4228.554535475153
2023-04-12,0.89977,0.90353227,0.8946291,0.89597285,4310.969129016399,4328.994760491848,4286.338097413778,4292.776149314642,0.89977,0.90353227,0.8946291,0.89597285,4249.14674684079,4266.9140654819985,4224.868898307478,4231.214550157111
2023-04-13,0.8960594,0.90006363,0.8907634,0.8922715,4288.853879910708,4308.019574207068,4263.505409091711,4270.723783564568,0.8960594,0.90006363,0.8907634,0.8922715,4252.036112123197,4271.037098424983,4226.905145886485,4234.061562284654
2023-04-14,0.8851787,0.8900062,0.8793099,0.881786,4242.714548828602,4265.853043053151,4214.58507408619,4226.453151514531,0.8851787,0.8900062,0.8793099,0.881786,4254.925477405604,4278.130589107788,4226.7150531878,4238.617379985054
2023-04-17,0.88627625,0.8911704,0.88040125,0.88295555,4235.274880828857,4258.662641962766,4207.199883095026,4219.406180934906,0.88627625,0.8911704,0.88040125,0.88295555,4257.814842688012,4281.327057939677,4229.590337507015,4241.861629781519
2023-04-18,0.88682604,0.89154065,0.8809842,0.8834616,4226.772527513504,4249.243198788166,4198.92921299696,4210.73698286295,0.88682604,0.89154065,0.8809842,0.8834616,4260.704207970419,4283.355208572503,4232.63730416132,4244.5400504526815
2023-04-19,0.8826071,0.8877554,0.8765527,0.87941253,4233.477923059464,4258.172012557984,4204.437623491288,4218.154973783493,0.8826071,0.8877554,0.8765527,0.87941253,4263.593573252826,4288.4632413947675,4234.346770328469,4248.161530193013
2023-04-20,0.88518465,0.89026344,0.87926096,0.881909,4243.168006322384,4267.513401668071,4214.772568973302,4227.4661291909215,0.88518465,0.89026344,0.87926096,0.881909,4266.482938535233,4290.96206830643,4237.93141333337,4250.694840750951
