,open_rel,high_rel,low_rel,close_rel,open,high,low,close,daisy_chained_open_rel,daisy_chained_high_rel,daisy_chained_low_rel,daisy_chained_close_rel,daisy_chained_open,daisy_chained_high,daisy_chained_low,daisy_chained_close
2022-12-28,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3840.0111107230186,3865.090697735548,3805.0461740344763,3830.6326844990253,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3855.6248661565783,3880.806428534985,3820.5177595746522,3846.2083065915112
2022-12-29,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3793.8517553853985,3818.629869945049,3759.307119287252,3784.586063759327,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3866.4600965779755,3891.7124251849996,3831.254330608155,3857.017074222516
2022-12-30,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3860.09739982605,3885.308172874451,3824.949568920136,3850.6699170303345,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3877.325776595057,3902.64907030077,3842.0210739808053,3867.856217082419
2023-01-02,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3850.2899156808853,3875.436634838581,3815.2313860952854,3840.8863856196404,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3888.2219917784882,3913.6164500118343,3852.8180744841097,3878.7258205328963
2023-01-03,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3834.886750397682,3859.9328695797917,3799.968473192453,3825.520839354992,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3899.1488279394084,3924.614650689775,3863.6454171478613,3889.6259701755116
2023-01-04,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3863.7977696108815,3889.0327102315423,3828.6162452620265,3854.361249433756,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3910.1063711301076,3935.6437589488996,3874.5031872408067,3900.5567518523903
2023-01-05,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3818.8016741514207,3843.742739713192,3784.029858416319,3809.4750475525857,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3921.0947076447023,3946.703861646923,3885.3914702713187,3911.5182516468935
2023-01-06,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3906.026108808517,3931.5368479299545,3870.460077445507,3896.486454720497,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3932.1139240198167,3957.795045885651,3896.310351988068,3922.510555884298
2023-01-09,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3903.02770619154,3928.518862375021,3867.488976561427,3893.4953750765326,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3943.164107035264,3968.917399011665,3907.2599183807,3933.5337511324747
2023-01-10,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3930.264032304287,3955.933072298765,3894.4773043245077,3920.66518214345,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3954.2453437147283,3980.0710086170134,3918.2402556805127,3944.5879242025712
2023-01-11,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3980.7655559802056,4006.7644276654723,3944.518990117908,3971.04336638093,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3965.3577213264525,3991.2559625398976,3929.2514503611333,3955.6731621496956
2023-01-12,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3994.3636628317836,4020.4513454329967,3957.993280414939,3984.60826269269,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3976.5013273839236,4002.472348865366,3940.2935891392017,3966.789552273601
2023-01-13,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,4010.32840184927,4036.5203521335125,3973.81265368402,4000.534011164904,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3987.676249646562,4013.720255926007,3951.366758975051,3977.9371821193754
2023-01-16,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,4002.1855827021595,4028.3243512284753,3965.743978373408,3992.4110791552066,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3998.8825761204143,4024.9997723026454,3962.4710470733958,3989.1161394781266
2023-01-17,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3939.901038708687,3965.6330191826823,3904.0265616810325,3930.2786521697044,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,4010.120395058844,4036.310986825039,3973.606540884015,4000.3265123876795
2023-01-18,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3909.806703412533,3935.342134064436,3874.206248125434,3900.2578160107137,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,4021.3897949632287,4047.6539885725774,3984.773328102443,4011.5683891332646
2023-01-19,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,3983.773986699581,4009.7925068175796,3947.500027794242,3974.044449635744,1.0028102397918701,1.0093597173690796,0.9936792254447937,1.0003610849380493,4032.6908645836547,4059.028866874986,3995.971496670659,4022.8418582482154
