,open_rel,high_rel,low_rel,close_rel,open,high,low,close,daisy_chained_open_rel,daisy_chained_high_rel,daisy_chained_low_rel,daisy_chained_close_rel,daisy_chained_open,daisy_chained_high,daisy_chained_low,daisy_chained_close
2022-12-28,0.9992819,1.0044267,0.9907881,0.99768543,3826.5001513957977,3846.201008975506,3793.9753401577473,3820.3869421482086,0.9992819,1.0044267,0.9907881,0.99768543,3842.0589703178407,3861.8399262129137,3809.4020040247915,3835.9209610926255
2022-12-29,0.9992353,1.0050194,0.99062073,0.99800396,3780.326867277622,3802.2095941400526,3747.7361668801304,3775.6685402488706,0.9992353,1.0050194,0.99062073,0.99800396,3839.1208418113483,3861.3438411262136,3806.023181303267,3834.3900220922956
2022-12-30,0.999313,1.0045345,0.99083245,0.99809164,3846.6355325698855,3866.7344945526124,3813.9915254592897,3841.934180660248,0.999313,1.0045345,0.99083245,0.99809164,3836.483353754765,3856.5292185607527,3803.9254593495853,3831.794429730139
2023-01-02,0.9991026,1.0035709,0.99146634,0.9978864,3836.054403781891,3853.2105253338814,3806.7350254952908,3831.384906888008,0.9991026,1.0035709,0.99146634,0.9978864,3833.040464697717,3850.183258724338,3803.744139324772,3828.374711311097
2023-01-03,0.9992118,1.0047376,0.9906801,0.99791926,3821.1257676410673,3842.257305264473,3788.499392006397,3816.1829645025728,0.9992118,1.0047376,0.9906801,0.99791926,3830.019216887284,3851.200135281685,3797.3168851751384,3825.064933825965
2023-01-04,0.999251,1.0038195,0.99121857,0.9978864,3850.084156423807,3867.6862865161893,3819.1354016876217,3844.826436955929,0.999251,1.0038195,0.99121857,0.9978864,3827.1505632632616,3844.647969078657,3796.3861619219797,3821.9241987368155
2023-01-05,0.9991281,1.0046852,0.9908304,0.9979833,3804.7797300100324,3825.9415711164474,3773.1813279151916,3800.42011654973,0.9991281,1.0046852,0.9908304,0.9979833,3823.813683149218,3845.0815353381263,3792.0573159477567,3819.432205659457
2023-01-06,0.9992347,1.0040514,0.9911958,0.99754864,3892.099003200531,3910.860709848404,3860.7869285631177,3885.531755812168,0.9992347,1.0040514,0.9911958,0.99754864,3820.8872281466934,3839.3056852786235,3790.1481226929254,3814.4400621483774
2023-01-09,0.99928784,1.0030516,0.9916097,0.9978664,3889.318223602772,3903.9672520911695,3859.434168368578,3883.785806167126,0.99928784,1.0030516,0.9916097,0.9978664,3818.166159251717,3832.547422265523,3788.828765038688,3812.7349521080205
2023-01-10,0.9992231,1.0036548,0.99133134,0.9978219,3916.2051858603954,3933.5742222964764,3885.2753499150276,3910.7135876715183,0.9992231,1.0036548,0.99133134,0.9978219,3815.199875827835,3832.1209801850982,3785.0677573913454,3809.849977949741
2023-01-11,0.9991255,1.0027566,0.99176526,0.9977646,3966.138499250412,3980.5526095056534,3936.9212965130805,3960.7362837982178,0.9991255,1.0027566,0.99176526,0.9977646,3811.863409719385,3825.716993028095,3783.782718469178,3806.6713264417476
2023-01-12,0.99902046,1.002916,0.9917326,0.99780786,3979.2683147752286,3994.784837809801,3950.2395297908784,3974.4383352077007,0.99902046,1.002916,0.9917326,0.99780786,3808.1295266201073,3822.9787026473746,3780.349174220577,3803.5072609426497
2023-01-13,0.99902415,1.0031813,0.9915792,0.9977007,3995.1874990439414,4011.812458223105,3965.414362932444,3989.8948572635654,0.99902415,1.0031813,0.9915792,0.9977007,3804.4133739157596,3820.244445965291,3776.0619361495687,3799.3733904257306
2023-01-16,0.99902654,1.0028659,0.9917113,0.9977262,3987.084938137531,4002.4077629482745,3957.8901207655667,3981.8953404402732,0.99902654,1.0028659,0.9917113,0.9977262,3800.709918037097,3815.316308791997,3772.879709931,3795.762964831024
2023-01-17,0.9992931,1.0038439,0.99119234,0.9979838,3926.0826453065874,3943.962158868313,3894.255940275192,3920.938684666157,0.9992931,1.0038439,0.99119234,0.9979838,3798.023154057428,3815.3194778970096,3767.2345928894474,3793.0468728333867
2023-01-18,0.99947333,1.0036368,0.9912685,0.99766105,3896.7966057658195,3913.029481959343,3864.807251995802,3889.730800911784,0.99947333,1.0036368,0.9912685,0.99766105,3796.022861959547,3811.8357623702364,3764.8606690957786,3789.139788421978
2023-01-19,0.9994246,1.0039955,0.99097455,0.99775153,3970.324067879915,3988.482713252306,3936.7553891146185,3963.677721424699,0.9994246,1.0039955,0.99097455,0.99775153,3793.8385421826924,3811.189979931289,3761.7619451353266,3787.4876699368324
2023-01-20,0.9990417,1.0024031,0.99216217,0.99799645,4015.957721697092,4029.470166476965,3988.3034046524763,4011.7561075460912,0.9990417,1.0024031,0.99216217,0.99799645,3790.2028176333265,3802.9556455790002,3764.1030087305157,3786.2373545876153
2023-01-23,0.999164,1.0029844,0.99166673,0.99773484,4013.5917705595493,4028.938203912973,3983.4756880193945,4007.850984355807,0.999164,1.0029844,0.99166673,0.99773484,3787.0341521813157,3801.5143997302794,3758.6181053622367,3781.617433546359
2023-01-24,0.9991095,1.0027546,0.99182403,0.99780095,4012.6435826253887,4027.2829553246497,3983.3835092854497,4007.388116290569,0.9991095,1.0027546,0.99182403,0.99780095,3783.6618232899436,3797.465685198852,3756.071464806184,3778.7061628928327
2023-01-25,0.9990711,1.0025362,0.99190176,0.997597,4056.658352718353,4070.727971755266,4027.547644406557,4050.6727020144463,0.9990711,1.0025362,0.99190176,0.997597,3780.147260095779,3793.257850599618,3753.020766091531,3774.5696037418484
2023-01-26,0.9989948,1.0028971,0.9918869,0.9977263,4066.4683840942384,4082.352995891571,4037.5351957416533,4061.304854106903,0.9989948,1.0028971,0.9918869,0.9977263,3776.347559156466,3791.098916809421,3749.4785968397105,3771.5525125854074
2023-01-27,0.9988735,1.0029156,0.9920145,0.99788946,4013.2438704562187,4029.484293797016,3985.6862074339388,4009.290332221389,0.9988735,1.0029156,0.9920145,0.99788946,3772.0933987005205,3787.3578481195764,3746.1915894907033,3768.377337603511
2023-01-30,0.99910915,1.0032411,0.991606,0.99773866,4072.9683567285538,4089.8125140190123,4042.3810077190396,4067.3814188361166,0.99910915,1.0032411,0.991606,0.99773866,3768.733025445686,3784.3190304323016,3740.4304901020387,3763.563298725376
2023-01-31,0.9989511,1.0022954,0.9922306,0.9975999,4114.889267789125,4128.66513111949,4087.206185762286,4109.323483126759,0.9989511,1.0022954,0.9922306,0.9975999,3764.779916432737,3777.3834752583707,3739.4522968570072,3759.6876442319376
2023-02-01,0.9992614,1.0025132,0.99206674,0.9977195,4176.6727425003055,4190.264448451996,4146.6008813190465,4170.228167209625,0.9992614,1.0025132,0.99206674,0.9977195,3761.999171836945,3774.2413761922808,3734.912991986722,3756.19446189214
2023-02-02,0.9992472,1.0029602,0.99182516,0.99776566,4133.366030292511,4148.724829101562,4102.664951753616,4127.237698459625,0.9992472,1.0029602,0.99182516,0.99776566,3759.1671137922553,3773.1352523602877,3731.245400804521,3753.593526258091
2023-02-03,0.99898434,1.0021529,0.99213356,0.9977702,4106.904527549744,4119.930825405121,4078.7404267859456,4101.913073687553,0.99898434,1.0021529,0.99213356,0.9977702,3755.349066291465,3767.2602883448517,3729.595810717173,3750.7848213767693
2023-02-06,0.99939907,1.0030389,0.9915023,0.9975786,4161.4977107048035,4176.6539096832275,4128.615514755249,4153.917377471924,0.99939907,1.0030389,0.9915023,0.9975786,3753.0923492481634,3766.760972738721,3723.4371048756507,3746.256024187258
2023-02-07,0.99909747,1.0024903,0.9921018,0.99787307,4114.143493273258,4128.114632878303,4085.3362708783147,4109.101591200828,0.99909747,1.0024903,0.9921018,0.99787307,3749.705057557318,3762.4387373257177,3723.449637591843,3745.109677388854
2023-02-08,0.999228,1.0039879,0.99119484,0.9979187,4078.3490846157074,4097.7766479849815,4045.5617567896843,4073.005276143551,0.999228,1.0039879,0.99119484,0.9979187,3746.810287655954,3764.658605171176,3716.6883485941657,3741.900883702787
2023-02-09,0.99913025,1.0032306,0.9915631,0.99793285,4086.90231842041,4103.674524507523,4055.949123339653,4082.0044109880923,0.99913025,1.0032306,0.9915631,0.99793285,3743.551495749271,3758.9146529968934,3715.1986475824256,3739.0651825031678
2023-02-10,0.9991791,1.0032445,0.99158055,0.99761665,4133.893801376819,4150.71351698041,4102.456276755929,4127.4293843925,0.9991791,1.0032445,0.99158055,0.99761665,3740.4785072868553,3755.697512863491,3712.0327763749024,3734.629193901537
2023-02-13,0.99909997,1.0026555,0.99201334,0.99776673,4132.407358353138,4147.1135185861585,4103.096116236448,4126.892918064595,0.99909997,1.0026555,0.99201334,0.99776673,3737.1119639068315,3750.4114294985616,3710.6045826573513,3732.125054121087
2023-02-14,0.99896896,1.0026809,0.9919184,0.9977256,4143.323653745651,4158.719291353226,4114.080693745614,4138.166723299027,0.99896896,1.0026809,0.9919184,0.9977256,3733.258847707358,3747.130717543574,3706.9100832034096,3728.612194099404
2023-02-15,0.9990003,1.0030066,0.9917548,0.99775225,4086.320861699581,4102.708134638071,4056.6836298966405,4081.2157778173682,0.9990003,1.0030066,0.9917548,0.99775225,3729.526749521715,3744.4833441534656,3702.47719172051,3724.8674019476016
2023-02-16,0.9992331,1.0030419,0.99159825,0.9975431,4075.961854547262,4091.498034745455,4044.8184993994237,4069.0680696749687,0.9992331,1.0030419,0.99159825,0.9975431,3726.666674813292,3740.8716736554306,3698.1922604024435,3720.3636091816343
2023-02-17,0.9992142,1.004175,0.99100244,0.9979246,3994.198779754639,4014.028685593605,3961.373695318699,3989.044023989439,0.9992142,1.004175,0.99100244,0.9979246,3723.738157147385,3742.2254345396195,3693.135846869496,3718.9324504926844
2023-02-20,0.9990672,1.0041425,0.9910519,0.99791,3987.327097910643,4007.5830156683924,3955.337734615803,3982.7087962388996,0.9990672,1.0041425,0.9910519,0.99791,3720.2646069374246,3739.163937580201,3690.417723158031,3715.9556571186936
2023-02-21,0.9991251,1.0036305,0.99134475,0.9978754,4008.809713611603,4026.8868036460876,3977.5923670291904,4003.7953945827485,0.9991251,1.0036305,0.99134475,0.9978754,3717.0098330881383,3733.7710562799034,3688.0648529636965,3712.3605842886145
2023-02-22,0.99903893,1.0029942,0.9918342,0.99782276,3966.2245323467255,3981.9270132780075,3937.6215397524834,3961.39627620697,0.99903893,1.0029942,0.9918342,0.99782276,3713.4375439462024,3728.1392649316144,3686.65762277933,3708.916934066854
2023-02-23,0.9991646,1.0041103,0.9910287,0.9975991,3978.9131622314453,3998.6083456420897,3946.514234228134,3972.679139175415,0.9991646,1.0041103,0.9910287,0.9975991,3710.335268776356,3728.7011587267984,3680.123306827317,3704.5220353486493
2023-02-24,0.99910414,1.0036665,0.9913579,0.9979068,3966.593310111761,3984.70663484931,3935.839656227827,3961.839698237181,0.99910414,1.0036665,0.9913579,0.9979068,3707.01133594449,3723.9391475950865,3678.2701602008115,3702.5688128273946
2023-02-27,0.99910676,1.0035899,0.9913828,0.99772054,3947.860479336977,3965.5749706721303,3917.3399939399956,3942.3829628509284,0.99910676,1.0035899,0.9913828,0.99772054,3703.7001029079443,3720.3191862616495,3675.067163184961,3698.561304492552
2023-02-28,0.99903524,1.0035973,0.99147964,0.9975828,3977.5089496672153,3995.6719491958615,3947.427445757389,3971.726253849268,0.99903524,1.0035973,0.99147964,0.9975828,3700.126918306538,3717.0232927387024,3672.143318172737,3694.747390750158
