,open_rel,high_rel,low_rel,close_rel,open,high,low,close,daisy_chained_open_rel,daisy_chained_high_rel,daisy_chained_low_rel,daisy_chained_close_rel,daisy_chained_open,daisy_chained_high,daisy_chained_low,daisy_chained_close
2022-12-28,0.9996277,1.0037924,0.99346304,0.99834615,3827.8244061768055,3843.772067338228,3804.218343615532,3822.916994586587,0.9996277,1.0037924,0.99346304,0.99834615,3843.388609611988,3859.401109959761,3819.686452919632,3838.4612458822644
2022-12-29,0.99955404,1.0035756,0.9935366,0.99837536,3781.532827823162,3796.7471430826185,3758.7675038075445,3777.0736150729654,0.99955404,1.0035756,0.9935366,0.99837536,3841.674604524546,3857.130865909355,3818.547228878218,3837.1444315580707
2022-12-30,0.99943995,1.003461,0.9935597,0.9984353,3847.124229049683,3862.602370796204,3824.4895518112185,3843.2571026802066,0.99943995,1.003461,0.9935597,0.9984353,3839.5230929397803,3854.9706981189374,3816.933201686011,3835.6637090325016
2023-01-02,0.9996177,1.0039204,0.99339306,0.99834067,3838.0321430563927,3854.5525136590004,3814.1326674818993,3833.128988236189,0.9996177,1.0039204,0.99339306,0.99834067,3838.055227167645,3854.5757867339726,3814.1555941359993,3833.1520872376423
2023-01-03,0.9997051,1.0041647,0.99339294,0.99835783,3823.012170166969,3840.0663795661926,3798.873694152832,3817.8601213157176,0.9997051,1.0041647,0.99339294,0.99835783,3836.923293403186,3854.0395427931253,3812.6970379032573,3831.7524214501846
2023-01-04,0.99959207,1.0040205,0.9934026,0.99841636,3851.3982418084142,3868.4606828665733,3827.550416833162,3846.868298744559,0.99959207,1.0040205,0.9934026,0.99841636,3835.35808121184,3852.3493880379633,3811.609663184164,3830.847015668155
2023-01-05,0.99965596,1.0040786,0.9933804,0.9983678,3806.7898688554765,3823.6318180799485,3782.892005431652,3801.884367418289,0.99965596,1.0040786,0.9933804,0.9983678,3834.0385722513092,3851.001180771336,3809.969703464816,3829.098057693143
2023-01-06,0.9996755,1.0038671,0.99355197,0.9983986,3893.816094503403,3910.1428561019898,3869.9644054698942,3888.842426712513,0.9996755,1.0038671,0.99355197,0.9983986,3832.794473946362,3848.865183178706,3809.3166540689167,3827.898740019072
2023-01-09,0.9995258,1.00365,0.9934921,0.9983839,3890.244314277172,3906.2959340023995,3866.760770492554,3885.7999141919613,0.9995258,1.00365,0.9934921,0.9983839,3830.976907024966,3846.783793305258,3807.8511382898037,3826.6002372379794
2023-01-10,0.9995134,1.0037898,0.99340904,0.9983766,3917.3428446650505,3934.1031051576138,3893.4183705747128,3912.887520492077,0.9995134,1.0037898,0.99340904,0.9983766,3829.112706464578,3845.4952642185003,3805.7270503250143,3824.75779444866
2023-01-11,0.9993874,1.0033871,0.99354625,0.99842995,3967.1781512606144,3983.055440403223,3943.991119468212,3963.3775299042463,0.9993874,1.0033871,0.99354625,0.99842995,3826.766928690897,3842.0824668704067,3804.400577116621,3823.100788561042
2023-01-12,0.9995394,1.0038332,0.99347794,0.9984319,3981.335253534317,3998.4381864917277,3957.1915284979345,3976.924074790478,0.9995394,1.0038332,0.99347794,0.9984319,3825.0042253422057,3841.435777783854,3801.808496391077,3820.7661560734496
2023-01-13,0.9995438,1.0036627,0.9935187,0.99840075,3997.2655593502523,4013.7374886238576,3973.1707385194304,3992.69444642365,0.9995438,1.0036627,0.9935187,0.99840075,3823.259205051547,3839.0141937457643,3800.2132954437275,3818.8870224970565
2023-01-16,0.99966645,1.0037994,0.99359417,0.998419,3989.6388215661045,4006.1334449768065,3965.404523115158,3984.660223738551,0.99966645,1.0037994,0.99359417,0.998419,3821.9839661494866,3837.7856400283945,3798.768053211947,3817.2145779318403
2023-01-17,0.999581,1.0037818,0.99350774,0.998419,3927.213726518154,3943.7181450748444,3903.3528306984904,3922.648420468569,0.999581,1.0037818,0.99350774,0.998419,3820.3824759331105,3836.438031730514,3797.170598129055,3815.941398257999
2023-01-18,0.99956167,1.0036377,0.9935708,0.99841774,3897.141007107496,3913.032735413313,3873.783531498909,3892.680986493826,0.99956167,1.0036377,0.9935708,0.99841774,3818.7078779111257,3834.279774986267,3795.8205078042215,3814.3377135610995
2023-01-19,0.99941754,1.003445,0.99358475,0.99846125,3970.2961271309855,3986.2957576835156,3947.12472197175,3966.49713242054,0.99941754,1.003445,0.99358475,0.99846125,3816.4836463471433,3831.8635794260003,3794.2099272609685,3812.83190746658
2023-01-20,0.99948764,1.0037194,0.9933804,0.9983576,4017.750404012203,4034.761478458643,3993.2005757081506,4013.207839990258,0.99948764,1.0037194,0.9933804,0.9983576,3814.5282269602794,3830.6787729193884,3791.220047511029,3810.2153668327583
2023-01-23,0.99959433,1.0038196,0.993472,0.9983866,4015.3204470574856,4032.2930813491344,3990.727270442247,4010.469139134884,0.99959433,1.0038196,0.993472,0.9983866,3812.9807902989946,3829.0979664577117,3789.626839318716,3808.3739997194753
2023-01-24,0.9994855,1.0035175,0.9935957,0.9984512,4014.153625516891,4030.3470880150794,3990.498999917507,4009.9995712530613,0.9994855,1.0035175,0.9935957,0.9984512,3811.0189838716433,3826.392795881242,3788.5613608762387,3807.075128609961
2023-01-25,0.99955356,1.0034925,0.99362385,0.99842,4058.617266546488,4074.610948461294,4034.540100339651,4054.014520909786,0.99955356,1.0034925,0.99362385,0.99842,3809.3175971702262,3824.3289806810135,3786.7194639751146,3804.997686369545
2023-01-26,0.99944854,1.0033088,0.993641,0.9984392,4068.3152401351927,4084.028559188843,4044.6753857612607,4064.2066405296323,0.99944854,1.0033088,0.993641,0.9984392,3807.216902608684,3821.9218247655567,3785.0941641637887,3803.3720647058462
2023-01-27,0.99950695,1.0033511,0.9936793,0.9984317,4015.789040021896,4031.2339182651044,3992.3748210930826,4011.468861346245,0.99950695,1.0033511,0.9936793,0.9984317,3805.3397557555722,3819.9752800928572,3783.1526220315973,3801.2459551362304
2023-01-30,0.99951947,1.0033907,0.99369454,0.99845093,4074.641060614586,4090.4224045991896,4050.895177412033,4070.2850811600683,0.99951947,1.0033907,0.99369454,0.99845093,3803.511165773128,3818.2425822102737,3781.345348917034,3799.4449502419393
2023-01-31,0.99951875,1.0035678,0.9935628,0.99842817,4117.227638829947,4133.9065785133835,4092.693893777132,4112.735285308957,0.99951875,1.0035678,0.9935628,0.99842817,3801.680734004684,3817.0812289024007,3779.0272957739357,3797.5326341341993
2023-02-01,0.99959815,1.0037531,0.99355876,0.99843216,4178.080344572068,4195.446915407181,4152.837181329727,4173.2068026733405,0.99959815,1.0037531,0.99355876,0.99843216,3800.153011436848,3815.9486875731964,3777.193152661453,3795.720273941317
2023-02-02,0.9995488,1.0035682,0.993515,0.99836326,4134.613590602874,4151.239673995971,4109.654987792968,4129.709643058776,0.9995488,1.0035682,0.993515,0.99836326,3798.438355185383,3813.712513019092,3775.5090060693105,3793.933130669597
2023-02-03,0.99939775,1.0032232,0.99361336,0.9984232,4108.604121265411,4124.330754003525,4084.8240215349197,4104.597726044654,0.99939775,1.0032232,0.99361336,0.9984232,3796.150763421601,3810.681255830199,3774.1792144034985,3792.4490153789234
2023-02-06,0.99947965,1.0034267,0.9935734,0.9984203,4161.8332686424255,4178.268658161163,4137.239750862122,4157.422121286392,0.99947965,1.0034267,0.9935734,0.9984203,3794.17544188049,3809.1588157445653,3771.75443104896,3790.154034055287
2023-02-07,0.9995264,1.0034627,0.9935845,0.99839276,4115.909705293178,4132.118799483776,4091.44192543745,4111.241613796949,0.9995264,1.0034627,0.9935845,0.99839276,3792.378450170949,3807.3135877384507,3769.83401462647,3788.0772969194286
2023-02-08,0.99943876,1.0033907,0.99351823,0.99838585,4079.2093098163605,4095.339018881321,4055.044669210911,4074.91183295846,0.99943876,1.0033907,0.99351823,0.99838585,3790.2500257954857,3805.237326829893,3767.797087890668,3786.256951544911
2023-02-09,0.999405,1.0033908,0.99354494,0.99843377,4088.0262844347953,4104.329886903763,4064.055819647312,4084.0533937180044,0.999405,1.0033908,0.99354494,0.99843377,3787.9949272286262,3803.1020070075874,3765.7836139233605,3784.3135502177765
2023-02-10,0.9995433,1.0036527,0.9935844,0.9984601,4135.400537768603,4152.40224542737,4110.746779334545,4130.919045060277,0.9995433,1.0036527,0.9935844,0.9984601,3786.264984839351,3801.831418125677,3763.6925733150774,3782.161915314028
2023-02-13,0.9996121,1.00365,0.99358344,0.9983971,4134.525566103459,4151.226667807102,4109.5902769160275,4129.500246412754,0.9996121,1.00365,0.99358344,0.9983971,3784.7962660411113,3800.084597725558,3761.970247672698,3780.1960054581214
2023-02-14,0.9995614,1.0035137,0.99361634,0.99841243,4145.780983018875,4162.173396444321,4121.123142337799,4141.015395855904,0.9995614,1.0035137,0.99361634,0.99841243,3783.1363642477786,3798.095085654922,3760.635369729807,3778.787741402098
2023-02-15,0.99948025,1.0034307,0.99360716,0.99843067,4088.2839991664887,4104.443068345785,4064.2606773626803,4083.990794042945,0.99948025,1.0034307,0.99360716,0.99843067,3781.170069655384,3796.115156471873,3758.9514458195235,3777.1994076404712
2023-02-16,0.999562,1.0034596,0.99372804,0.998478,4077.3034608435632,4093.2019087803365,4053.506117409468,4072.8816062384844,0.999562,1.0034596,0.99372804,0.998478,3779.5140119595285,3794.251155931113,3757.454702979714,3775.4151044025416
2023-02-17,0.9995719,1.0036541,0.9935435,0.9983962,3995.6288164591792,4011.9467694449427,3971.531196949482,3990.9291373527053,0.9995719,1.0036541,0.9935435,0.9983962,3777.8960754893837,3793.3249692522336,3755.1116720099126,3773.4525955188315
2023-02-20,0.9995719,1.0035776,0.9935641,0.9983858,3989.341509085894,4005.328340524435,3965.364116549492,3984.6075952470305,0.9995719,1.0035776,0.9935641,0.9983858,3776.2788316263873,3791.411662866559,3753.5820606874718,3771.797639081757
2023-02-21,0.99948335,1.0035362,0.9935578,0.9984389,4010.2470225906372,4026.5084637451173,3986.4718753623965,4006.056346178055,0.99948335,1.0035362,0.9935578,0.9984389,3774.3278056091663,3789.6327924002526,3751.9514163926888,3770.3836759581004
2023-02-22,0.9996964,1.0041,0.99343514,0.99839216,3968.8345923948286,3986.3170254278184,3943.977260770798,3963.656829574108,0.9996964,1.0041,0.99343514,0.99839216,3773.181821326567,3789.80231920653,3749.5498671679416,3768.259228465797
2023-02-23,0.99966276,1.003812,0.9935347,0.9983816,3980.8970171165465,3997.420121479034,3956.4935607337948,3975.7952012634273,0.99966276,1.003812,0.9935347,0.9983816,3771.909341867218,3787.5651383313193,3748.786938240596,3767.0754157402916
2023-02-24,0.99954724,1.0034919,0.99363124,0.9984186,3968.3524872660637,3984.0132814645767,3944.8650821983815,3963.871720597148,0.99954724,1.0034919,0.99363124,0.9984186,3770.2015839554865,3785.0803962014334,3747.8869611309847,3765.9444593642284
2023-02-27,0.99957085,1.0036097,0.99361813,0.9984488,3949.694247379303,3965.6531637096405,3926.172745403051,3945.260560839772,0.99957085,1.0036097,0.99361813,0.9984488,3768.583588967255,3783.810923555788,3746.1406227370717,3764.3532247202297
2023-02-28,0.9995936,1.0035856,0.9936496,0.99843085,3979.732041198015,3995.6254370331762,3956.0668426692487,3975.1026571691036,0.9995936,1.0035856,0.9936496,0.99843085,3767.0520951300427,3782.096308930348,3744.6514803754467,3762.670093450589
2023-03-01,0.99954677,1.0035491,0.9935509,0.9983712,4043.8063795375824,4059.998376750946,4019.549249501228,4039.05039632082,0.99954677,1.0035491,0.9935509,0.9983712,3765.344740099782,3780.4216353934007,3742.757900027887,3760.9162471715363
2023-03-02,0.99958277,1.003656,0.9935498,0.9983943,4046.730867547989,4063.2211437630654,4022.3069775104523,4041.9194944107535,0.99958277,1.003656,0.9935498,0.9983943,3763.773715849948,3779.110834586322,3741.0576586137813,3759.298837877938
2023-03-03,0.9995794,1.0037968,0.99354637,0.99844635,3984.6934508800505,4001.5055128884314,3960.643429788351,3980.1765576303005,0.9995794,1.0037968,0.99354637,0.99844635,3762.1907841323714,3778.0641231205323,3739.483607864746,3757.926110879513
2023-03-06,0.9995905,1.00374,0.99356675,0.9984295,3990.3753361380104,4006.9399299395086,3966.3284075760844,3985.740457336307,0.9995905,1.00374,0.99356675,0.9984295,3760.6502275413977,3776.261084816341,3737.9877655479945,3756.2821732119965
2023-03-07,0.9995847,1.0036464,0.9935719,0.9984045,3916.692623100281,3932.607659187317,3893.132558965683,3912.068331680298,0.9995847,1.0036464,0.9935719,0.9984045,3759.088334865908,3774.362893527159,3736.4762879831196,3754.650171720305
2023-03-08,0.9996487,1.0040516,0.9934081,0.9983764,3860.233385680914,3877.2354872286323,3836.1347227680685,3855.3204347747564,0.9996487,1.0040516,0.9934081,0.9983764,3757.7677303838714,3774.318538853464,3734.308694106505,3752.985076673811
2023-03-09,0.99961996,1.0039047,0.99342537,0.9983576,3854.294659996033,3870.8155871486665,3830.4098017883302,3849.4272766923905,0.99961996,1.0039047,0.99342537,0.9983576,3756.3396312851337,3772.440837125497,3733.0616858390326,3751.595961789072
